role,arm,run_id,job_id,node,card,commit,state,elapsed,produced_result,out_dir,stdout_log,args_json,pixi_lock
swa-eval,join-v8-ddp-proj64-cosine,26-09-22_09-33-10_633757306,192860,ampere3,a100,b418c19db61fb8c0b23f4fadd0ebfaa5c1dfa040,COMPLETED,00:38:20,yes,/lfs/local/0/vedanga/scratch/relational-transformer/repaper/adapter/swa-eval-v8,/lfs/local/0/vedanga/scratch/relational-transformer/repaper/adapter/slurm-logs/26-09-22_09-33-10_633757306_192860.out,/lfs/local/0/vedanga/scratch/relational-transformer/repaper/adapter/slurm-logs/26-09-22_09-33-10_633757306.args.json,/lfs/local/0/vedanga/scratch/relational-transformer/repaper/adapter/slurm-logs/26-09-22_09-33-10_633757306.pixi.lock
"checkpoint-source (v8 training, still running)",join-v8-ddp-proj64-cosine,26-09-21_18-19-04_170487143,192079,ampere1,a100 x4,8ffa5133a957dc9c3b30b1d372d907169b837312,RUNNING,15:59:12,yes (checkpoints),/lfs/local/0/vedanga/scratch/ckpts/rtv2/adapter/join-v8-ddp-proj64-cosine,/lfs/local/0/vedanga/scratch/relational-transformer/repaper/adapter/slurm-logs/26-09-21_18-19-04_170487143_192079.out,/lfs/local/0/vedanga/scratch/relational-transformer/repaper/adapter/slurm-logs/26-09-21_18-19-04_170487143.args.json,/lfs/local/0/vedanga/scratch/relational-transformer/repaper/adapter/slurm-logs/26-09-21_18-19-04_170487143.pixi.lock
